Wvl_nm	n	k
912	1	0
914	1	0
916	1	0
918	1	0
920	1	0
922	1	0
924	1	0
926	1	0
928	1	0
930	1	0
932	1	0
934	1	0
936	1	0
938	1	0
940	1	0
942	1	0
944	1	0
946	1	0
948	1	0
950	1	0
952	1	0
954	1	0
956	1	0
958	1	0
960	1	0
962	1	0
964	1	0
966	1	0
968	1	0
970	1	0
972	1	0
974	1	0
976	1	0
978	1	0
980	1	0
982	1	0
984	1	0
986	1	0
988	1	0
990	1	0
992	1	0
994	1	0
996	1	0
998	1	0
1000	1	0
1002	1	0
1004	1	0
1006	1	0
1008	1	0
1010	1	0
1012	1	0
1014	1	0
1016	1	0
1018	1	0
1020	1	0
1022	1	0
1024	1	0
1026	1	0
1028	1	0
1030	1	0
1032	1	0
1034	1	0
1036	1	0
1038	1	0
1040	1	0
1042	1	0
1044	1	0
1046	1	0
1048	1	0
1050	1	0
1052	1	0
1054	1	0
1056	1	0
1058	1	0
1060	1	0
1062	1	0
1064	1	0
1066	1	0
1068	1	0
1070	1	0
1072	1	0
1074	1	0
1076	1	0
1078	1	0
1080	1	0
1082	1	0
1084	1	0
1086	1	0
1088	1	0
1090	1	0
1092	1	0
1094	1	0
1096	1	0
1098	1	0
1100	1	0
1102	1	0
1104	1	0
1106	1	0
1108	1	0
1110	1	0
1112	1	0
1114	1	0
1116	1	0
1118	1	0
1120	1	0
1122	1	0
1124	1	0
1126	1	0
1128	1	0
1130	1	0
1132	1	0
1134	1	0
1136	1	0
1138	1	0
1140	1	0
1142	1	0
1144	1	0
1146	1	0
1148	1	0
1150	1	0
1152	1	0
1154	1	0
1156	1	0
1158	1	0
1160	1	0
1162	1	0
1164	1	0
1166	1	0
1168	1	0
1170	1	0
1172	1	0
1174	1	0
1176	1	0
1178	1	0
1180	1	0
1182	1	0
1184	1	0
1186	1	0
1188	1	0
1190	1	0
1192	1	0
1194	1	0
1196	1	0
1198	1	0
1200	1	0
1202	1	0
1204	1	0
1206	1	0
1208	1	0
1210	1	0
1212	1	0
1214	1	0
1216	1	0
1218	1	0
1220	1	0
1222	1	0
1224	1	0
1226	1	0
1228	1	0
1230	1	0
1232	1	0
1234	1	0
1236	1	0
1238	1	0
1240	1	0
1242	1	0
1244	1	0
1246	1	0
1248	1	0
1250	1	0
1252	1	0
1254	1	0
1256	1	0
1258	1	0
1260	1	0
1262	1	0
1264	1	0
1266	1	0
1268	1	0
1270	1	0
1272	1	0
1274	1	0
1276	1	0
1278	1	0
1280	1	0
1282	1	0
1284	1	0
1286	1	0
1288	1	0
1290	1	0
1292	1	0
1294	1	0
1296	1	0
1298	1	0
1300	1	0
